"Word","Part of speech","Affixation","Meaning","Example","English example","page"
"ahá’","verb","","","","","31"
"agwánta","verb","","","","","31"
"ágwa","noun","","","","","31"
"ágwa","noun","","","","","31"
"águm","verb","","","","","31"
"agúd","conjunction","","","","so that.","31"
"ágtang","noun","/ma-/; /ka-/; /mag-,-an/; /mag-,-un/","for ehead. 4 /ma-/ bright, smart, brilliant. /ka-/ wisdom, knowledge. /mag-,-an/ to adopt, to take care of someone. Nag’alágad sya sa ng báta’ nga laláki. She adopted a baby boy. adopted person. hard drink, liquor. of liquid, lukewarm. /mag-,-un/ to insist, to ask fervently.","Nag’ahá’ sya nga ma’upúd sa síni.","He","31"
"alkánse","noun","","","","","32"
"alkálde","noun","","","","mayor.","32"
"aláy’ay","verb","","","","","32"
"álay","verb","","","","","32"
"alát","noun","","","","","32"
"alát","adjective","/ma-/","","","sa lty.","32"
"álat","noun","","","","","32"
"alás","particle","","","","","32"
"alangáy","adjective","","","","","32"
"alangáy","verb","","","","","32"
"álang’álang","adjective","","","","","32"
"álang’álang","adjective","","","","","32"
"alangá’ang","noun","","","","slight fever.","32"
"alámbre","noun","","","","","32"
"wire.","verb","/ma-/","","","5 /ma-/ to lose some amount due to","32"
"time","particle","","","","used with time-telling from dos until dose.","32"
"amargóso","noun","","","","","33"
"áman","verb","","","","","33"
"alúng’ung","noun","","","","","33"
"alúm","noun","","","","mole.","33"
"álsa","verb","","","","","33"
"alpómbra","noun","","","","","33"
"alpabéto","noun","","","","alphabet.","33"
"almiránte","noun","","","","","33"
"almidól","noun","","","","starch.","33"
"almasín","noun","","","","","33"
"alísto","adjective","","","","","33"
"alíntun","verb","","","","","33"
"alipúlus","noun","","","","","33"
"alimángu","noun","","","","crab","33"
"aligútgut","noun","","","","","33"
"alibángbang","noun","","","","but terfly.","33"
"alkítran","noun","","","","","33"
"alkansíya","noun","","","","6","33"
"alkansíya","adverb","/mag-,-un/","gradually, little by little. bitter melon. /mag-,-un/ to prepare. Gin’-áman ni nánay ang pagká’un sa bisíta. Mother prepared the food for the visitor. opinion, idea, thought, knowledge. /mag-,-un/ to raise, to lift, to elevate slightly. Gin’álsa nya ang báskit. He lifted the basket.","Gin’álsa nya ang báskit.","of the navy, admiral.","33"
"ámpu’","noun","","","","","34"
"ámlig","verb","","","","","34"
"amínhan","noun","","","","north.","34"
"amimíluk","noun","","","","eyelash.","34"
"amígo","noun","","","","","34"
"amidúl","noun","","","","","34"
"Amerikáno","noun","","","","","34"
"amerikána","noun","","","","","34"
"Amérika","noun","","","","America.","34"
"ámbut","idiom","","","","","34"
"ámbut","adjective","","","","","34"
"ámbung","noun","","","","","34"
"ámbit","verb","","","","","34"
"ámbit","verb","","","","","34"
"ámba","noun","","","","","34"
"amáy","noun","","","","","34"
"father.","verb","/mag-,-an/","7 prayer, pleading. /mag-,-an/ to handle with care, to be, careful. Gin’-amligán ni Élsa ang íyang bág’ung líbro. Elsa was careful with her new book. friend, buddy. variant of almidúl.","variant of almidúl.","for mal coat for men, female American citizen.","34"
"anák","noun","","","","child.","35"
"ámyun","adjective","","","","","35"
"ámyun","verb","","","","","35"
"ámut","noun","","","","","35"
"ámun","pronoun","","","","","35"
"amúma","verb","","","","","35"
"amú’","noun","","","","","35"
"monkey.","adverb","","","","si milarly.","35"
"amú","pronoun","","","","it, that.","35"
"ámu","noun","","","","","35"
"ámu","verb","","","","8","35"
"ámu","noun","","for mative affix designating a container or a place where an action occurs.","Nagsugál kamí sa sugálan.","We","35"
"write to Jose.; proposed action affix of this","verb","",".","Sulatán ku si José.","I will write to Jose.; imperative action affix of this","35"
"write to Jose.; proposed action affix of this","verb","/ma-/; /mag-,-un/",". Sulatan mu si José. You write to Jose. /ma-/ fragrant. /mag-,-un/ to contribute, to help by giving something. Nag’ámut akú pára sa si mbáhan. I gave something for the church.","Nag’ámut akú pára sa si mbáhan.","our, ours (first person exclusive plural","35"
"pre-possessive","pronoun","/mag-,-un/","). /mag-,-un/ to be hospitable, to entertain. boss, employer, master. /mag-,-un/ to pray, to beseech, to beg, to plead. Nag’ámpu’ si Sa lvacíon sa Dyos.","Sa lvacion prayed to God.","A","35"
"ándar","verb","","","","","36"
"andámyu","noun","","","","gangplank.","36"
"ándam","verb","","","","","36"
"ánaw","noun","","","","","36"
"ánay","particle","","","","","36"
"ánay","verb","","","","","36"
"anád","adjective","","","","","36"
"each other.","noun","","for mative affix denoting reciprocal action.","Táman ka’ínit ang sumbagánay sa síni.","The boxing episode in the film was very intense.;","36"
"each other.","noun","/mag-,-un/","for mative affix designating a container or a place. But angánan iná’ sa ng mangá líbro. Those are bookshelves. /mag-,-un/ to bear a child, to give birth, to be godparent to a child during baptism or confirmation.","Nag’anák si Lucille sa búnyag.","Lucille stood as a godmother for a baptism ceremony.","36"
"ánum","numeral","","","","si x.","37"
"ánud","verb","","","","","37"
"ánud","verb","","","","","37"
"anu","pronoun","","","","","37"
"antyúhus","noun","","","","","37"
"ántus","verb","","","","","37"
"ántud","adjective","","","","","37"
"antipatikú","adjective","","","","","37"
"ánting’ánting","noun","","","","","37"
"antígu","verb","","","ántes","","37"
"aningál","verb","","","","","37"
"aningál","verb","","","","","37"
"áni","noun","","","","","37"
"anhíng","adjective","/mag-,-un/; /ma-/","10 /mag-,-un/ to drift, to flow with the current. Gin ánud ang baláy pagbahá’. The house was to wed away during the flood. /mag-,-un/ to become, to do with. Nag’anú ka? What did you do? what. Anú iní? What is this? spectacles, eyeglasses. /mag-,-un/ to bear, to suffer, to endure. Nag’ántus akú sa ng kapobréhan.","Nag’ántus akú sa ng kapobréhan.","/ma-/ fetid, of odor, burnt.","37"
"learned how to drive a car.","adverb","/mag-,-un/","earlier, before, in advance, previously. /mag-,-un/ to have the delusion of hearing a familiar sound. Gin’aningál nya ang tíngug ní nánay. She seemed to hear mother’s voice. /mag-,-un/ to harvest, to reap. Nag áni akú sa ng humáy. I harvested some palay. harvest, produce.","Nag áni akú sa ng humáy.","A","37"
"ánggid","adjective","","","","","38"
"ánggid","verb","","","","","38"
"ángga’","noun","","","","","38"
"ángkun","verb","","","","","38"
"ángkla","noun","","","","anchor.","38"
"ángkab","verb","","","","","38"
"ángkab","verb","","","","","38"
"ángay","adjective","","","","","38"
"áng","particle","","","","","38"
"ányo","noun","","","","year.","38"
"ányag","adjective","","","","","38"
"ányag","verb","","","","","38"
"anúnsyo","noun","","","","","38"
"definite","noun","/ma-/; /mag-,-un/","marker. Ang líbro ára’ sa lamésa. The book is on the table.","Ang líbro ára’ sa lamésa.","/mag-,-un/ to announce, to broadcast, to make public.","38"
"announcement, broadcast.","noun","","for mative affix designating state of being.","Banwahánun si Teresíta.","Teresita is","38"
"from the town.","adjective","","for mative affix attached to nouns to designate abundance in possession.","Manggaránun si Conchita.","Conchita is rich.","38"
"ápug","noun","","","","lime.","39"
"ápuk","verb","","","","","39"
"apú","noun","","","","grandchild.","39"
"aplá’ag","verb","","","","","39"
"apínas","adjective","","","","scarce.","39"
"ápin","verb","","","","","39"
"apelyédo","noun","","","","","39"
"ápdu","noun","","","ápat","","39"
"ápas","verb","","","","","39"
"aparadór","noun","","","ápang","","39"
"apá’","noun","","","","","39"
"ápa","noun","","","","cone.","39"
"ang út","verb","","","","","39"
"ang út","verb","/mag-,-un/; /mag-, -un/; /mag-,-an/","12 /mag-,-un/ to throw, to be blown aside. /mag-, -un/ to spread, to break and scatter. Nag’aplá’ag ang florera. The flower vase scattered into pieces. /mag-,-an/ to support, to si de with, to be an ally to, to defend.","/mag-,-an/ to support, to si de with, to be an ally to, to defend.","gall bladder.","39"
"/napulug-/ fourteen.","numeral","/ka-…-an/; /ika-/; /mag-,-un/","four; /ka-…-an/ forty; /ika-/ fourth; /mag-,-un/ to follow, to go after. Nag’ápas akú sa ákun bána sa Maníla’. I followed my husband to Manila. closet, cabinet.","walá’akú sa ng kwárta.","I would like to buy,","39"
"but I don’t have any money.","conjunction","/mag-,-un/","but, however. Gústo ku magbakál ápang mute, dumb. /mag-,-un/ to join to gether, to tie to gether, to fasten to gether. /mag-,-un/ to be alike, to compare. Nag’ánggid ang íya hitsúra sa íya amáy.","Nag’ánggid ang íya hitsúra sa íya amáy.","A","39"
"arúy","interjection","","","","ouch.","40"
"artíkulo","noun","","","","","40"
"article.","adjective","","","","","40"
"árte","noun","","","","","40"
"ármas","noun","","","","","40"
"arítus","noun","","","","earring.","40"
"aritmétika","noun","","","","arithmetic.","40"
"ári dirí","deictic","","","","","40"
"arí’arí","adjective","","","","","40"
"ári","deictic","","","","","40"
"aresgádo","adjective","","","","","40"
"árko","noun","","","","","40"
"arch.","verb","","","","","40"
"arádu","noun","","","","plow.","40"
"ára’ dirá’","deictic","","","","","40"
"ára’","deictic","","","","","40"
"apurá","verb","/ma-/; /-ista/; /mag-,-un/","13 /ma-/ creative, artistic, vain. art, design, decoration; /-ista/ actor, actress. weapon, arms. here (full form to mean near the speaker). stunted in growth. here (short form to mean near the speaker). adventurous, daring, foolhardy.","","/mag-,-un/ to plow, to use a plow to break up or turn the soil.","40"
"asúl","adjective","","","","blue.","41"
"asúgi","noun","","","","","41"
"asúkar","noun","","","","","41"
"asúkar","verb","","","","","41"
"asú","noun","","","","","41"
"smoke.","adjective","","","","","41"
"áslum","noun","","","","","41"
"sourness.","adjective","","","","","41"
"asín","noun","","","","sa lt.","41"
"asikáso","verb","","","","","41"
"asílo","noun","","","","","41"
"aséro","noun","","","","","41"
"steel.","verb","","","","","41"
"asáwa","noun","","","","wife.","41"
"ásang","noun","","","","fish gill.","41"
"asál","verb","","","","","41"
"ásab","adjective","","","","","41"
"/ma-/ voracious, gluttonous, ravenous.","noun","","for mative affix designating state of being.","","Milyonaŕyo","41"
"atú","deictic","","","","","42"
"atsára","noun","","","","","42"
"atráso","adjective","","","","","42"
"átras","verb","","","","","42"
"atipuyúng","verb","","","","","42"
"atipán","verb","","","","","42"
"atí","noun","","","","","42"
"áthag","adjective","","","","","42"
"aténsyon","noun","","","","attention.","42"
"atendér","verb","","","","","42"
"atáy","noun","","","","liver.","42"
"atáke","verb","","","","","42"
"atataró","noun","","","","caterpillar.","42"
"asyendéro","noun","","","","","42"
"áswang","noun","","","","","42"
"asúntu","noun","/mag-,-un/; /-un/","15 that (short form to mean yonder, far from both the speaker and the listener). pickled green papaya. late, delayed. /mag-,-un/ to go behind, to move back. Nag’átras akú. I moved back. /-un/ to be dizzy, to feel faint. Gin’atipuyúng akú ka’ína. I felt faint earlier to day. /mag-,-un/ to take care of, to attend to.","Nag’atipán akú sa ng pasyénte.","I took care","42"
"ayág","verb","","","","","43"
"áy","interjection","","","","oh, ouch, oh no.","43"
"áwto","noun","","","","","43"
"áwto","verb","","","","","43"
"áway","noun","","","","","43"
"awát","verb","","","","","43"
"áwas","verb","","","","","43"
"áwas","verb","","","","","43"
"áwa’","noun","","","","","43"
"atutúli","noun","","","","earwax.","43"
"atúp","noun","","","","roof.","43"
"átun","pronoun","","","","","43"
"atú dídtu","deictic","","","","","43"
"atúbang","verb","/mag-,-un/; /ka-/","16 /mag-,-un/ to si ft, to screen, to strain. Gin’ayág ku ang harína. I si fted the flour. variant of -an. car, automobile. /mag-,-un/ to fight, to go to war. Nag’áway si Mariáno kag si Cárlos. Mariano and Carlos had a fight. combat, fight, assault.; /ka-/ opponent. /mag-,-un/ to annoy, to waste another person’s time, to delay.","Gin’awát mu lang akú.","You just wasted my time.","43"
"pre-possessive","pronoun","","). there (long form), yonder, far from both the speaker and the listener.","kapitólyo ang tindáhan.","The store is in","43"
"front of the capitol.","adverb","/-an/; /mag-,-un/","in front of. Sa atubángan sa ng /mag-,-un/ to face, to confront, to stand before. Nag’atúbang akú sa ímu.","Nag’atúbang akú sa ímu.","A","43"
"áyu’","noun","","","","","44"
"áyu’","adjective","","","","","44"
"áyu","verb","","","áyhan","","44"
"ayáw","verb","","","","","44"
"ayáp","verb","","","","","44"
"ayám","verb","/mag-, -un/; /ma-/; /mag-,-un/","17 /mag-, -un/ to bargain, to ask for a discount. Gin’áyu’ ku ang pŕesyo. I asked for a discount of the price. bargain, discount. /ma-/ fine, good, well. /mag-,-un/ to become well, to fix something to make it work, to become good.","Nag’áyu ang masakítún sa ng hináli’.","The si ck","44"
"person got well rapidly.","conjunction","/ma-…-an,-an/","perhaps, therefore. Si gúro ang kandidáto ku áyhan ang mada’úg.","Si gúro ang kandidáto ku áyhan ang mada’úg.","/ma-…-an,-an/ to have more than enough,","44"
"bákud","adjective","","","","","45"
"báknit","verb","","","","","45"
"báknal","adjective","","","","","45"
"bákhu’","verb","","","","","45"
"bákhaw","noun","","","","","45"
"bákbak","verb","","","","","45"
"bákbak","verb","","","","","45"
"bakasyón","noun","","","","","45"
"bakál","verb","","","","","45"
"bakág","verb","","","","","45"
"bakág","verb","","","","","45"
"baká’","adjective","","","","","45"
"báka","noun","","","","cow, beef.","45"
"bábuy","noun","","","","pig, pork.","45"
"babáyi","noun","","","","","45"
"bá’bá","noun","/ma-/; /mag-, -un/","mouth. 18 /ma-/ strong, stiff. /mag-, -un/ to nudge, to pinch, to pluck. /ma-/ burdensome, onerous, bulky. /mag-, -un/ to si gh, to moan, to lament. Nagbákhu’ si lá sa ng pagkamatáy sa ng íla amáy. They mourned the death of their father. mangrove. /mag-, -un/ to strip off.","Ginbákbak ku ang pánit sa ng káhuy.","I stripped off the bark","45"
"bágid","verb","","","","","46"
"bágay","noun","","","","","46"
"bagátnan","noun","","","","south.","46"
"bagásu","noun","","","","bagasse.","46"
"baganíhan","noun","","","","hero.","46"
"bagáng","verb","","","","","46"
"bagáhe","noun","","","","","46"
"bága","noun","","","","","46"
"bádlung","verb","","","","","46"
"bádlu’","noun","","","","","46"
"phlegm.","verb","","","","","46"
"bakúna","noun","","","","","46"
"bakúlud","noun","","","","slope, hill.","46"
"bákul","verb","","","","","46"
"bákul","verb","/mag-, -un/","19 of fruits, unripe, nearly ripe. /mag-, -un/ to rub to gether, to strike to gether. Nagbág’id akú sa ng duhá ka batú. I rubbed two stones to gether. thing, idea, notion, effects. /mag-, -un/ to heat, to make red hot. Ginbagáng ku ang plántsa. I heated the iron.","Ginbagáng ku ang plántsa.","ember, live coal.","46"
"bahá’","noun","","","","","47"
"flood.","verb","","","","","47"
"bágyu","noun","","","","","47"
"bagúl","noun","","","","","47"
"bagúl","verb","","","","","47"
"bág’u","adjective","","","","","47"
"bágu","adverb","","","","before.","47"
"bágtung","verb","","","","","47"
"bágting","verb","","","","","47"
"bágsak","noun","","","","bedbug.","47"
"bágrut","verb","","","","","47"
"bágrut","verb","","","","","47"
"bágrung","noun","/mag-, -an/; /mag-/; /mag-, -un/","20 /mag-, -an/ to cover with a flood. Nagbahá sa Kaneohe sádtung naglígad nga semána. There was a flood in Kaneohe last week.; /mag-, -an/ to scatter abundantly, to /mag-/ to be stormy, to be for ceful. Nagbágyu sa Maníla. There was a storm in Manila. rainstorm, typhoon, hurricane. hard shell of the coconut. /mag-, -un/ to make new, to change, to renew.","Nagbág’u ang ímu batásan.","You","47"
"bá’is","verb","","","","","48"
"bá’id","verb","","","","","48"
"bá’id","verb","","","","","48"
"bahún","noun","","","","sneeze.","48"
"bahúl","adjective","","","","","48"
"bahúl","verb","","","","","48"
"bahúg","noun","","","","","48"
"bahúg","adjective","","","","","48"
"báhu’","noun","","","","","48"
"báhu","noun","","","","","48"
"báhit","verb","","","","","48"
"báhit","verb","","","","","48"
"báhin","noun","","","","","48"
"bahála’","verb","/mag-, -un/; /mag-/; /ma-/","21 /mag-, -un/ to argue, to dispute, to debate. Ginbá’is nya si Rubén. He argued with Ruben. /mag-, -un/ to sharpen, to rub against a stone so as to sharpen. /mag-/ to sneeze. /ma-/ coarse, loose or rough texture. /mag-, -un/ of animals, to feed swine, or any animal; of people, to eat mixed foods si multaneously.","Nagbahúg akú sa ng bábuy.","I fed the pigs.","48"
"balasúbas","adjective","","","","","49"
"balása","verb","","","","","49"
"balás","noun","","","","sa nd.","49"
"balangáw","noun","","","","rainbow.","49"
"balánse","verb","","","","","49"
"balának","noun","","","","mullet.","49"
"balahíbu","noun","","","","","49"
"balágun","noun","","","","","49"
"bál’ag","verb","","","","","49"
"baláka","verb","","","","","49"
"balábag","verb","","","","","49"
"balá’an","adjective","","","","","49"
"balá","particle","","","","","49"
"bála","noun","/mag-, -un/","bullet. 22 rowdy, rude, good-for-nothing, inconsiderate. /mag-, -un/ to shuffle, to mix up as of cards. Ginabalása ku ang mangá baráha. I shuffled the cards. /mag-, -un/ to balance, to shift, to bring to a state of equipoise or stability. Nagbalánse si Juán sa bángku.","Nagbalánse si Juán sa bángku.","of animals, fur; of people, skin hair.","49"
"question","particle","","","","to express doubt or uncertainty; tag question","49"
"question","particle","",". Ma’éstro si Pédro, índi’ balá?","Pedro is a teacher, isn’t he?","B","49"
"bálhin","verb","","","","","50"
"bálhin","verb","","","","","50"
"bálhas","noun","","","","","50"
"bále","verb","","","","","50"
"baldúsa","noun","","","","","50"
"báldi","noun","","","","","50"
"báldi","adjective","","","","","50"
"bálda","noun","","","","","50"
"balbolá","noun","","","","valve.","50"
"baláybay","noun","","","","","50"
"baláybay","verb","","","","","50"
"bálaybálay","noun","","","","","50"
"bálaybálay","verb","","","","","50"
"baláy","noun","","","","","50"
"baláy","verb","","","","","50"
"balatí’an","noun","/mag-, -un/; /-un/","23 /mag-, -un/ to change, to exchange. /-un/ to perspire, to sweat. Ginbálhas si Artúro pagkatápus maghámpang sa ng basketból. Arturo perspired after playing basketball. perspiration, sweat, condensation. to be about, to amount to, to equal to. Bále ánum ka písos ang ímu útang. Your debt amounts to si x pesos.","Your debt amounts to si x pesos.","bucket, pail.","50"
"balíta’","noun","","","","","51"
"balíswa’","verb","","","","","51"
"balískad","verb","","","","","51"
"balískad","verb","","","","","51"
"balígya’","noun","","","","","51"
"balikíd","verb","","","","","51"
"balikawáng","noun","","","","hip.","51"
"balík","verb","","","","","51"
"balík","verb","","","","","51"
"balíbad","noun","","","","","51"
"balíbad","verb","","","","","51"
"balíbad","adjective","","","","","51"
"balí’","noun","/mag-, -un/","24 news, report. /mag-, -un/ to turn over, to turn upside down, to invert. Ginbalíswa’ ni Joselíto ang pláto. Joselito turned the plate over. /mag-, -un/ to turn upside down, to invert, to turn over. Nagbalískad ang papél sa hángin. The paper overturned in the wind. /mag-, -un/ to sell, to dispose of by sa le.","goods for sa le.","/mag-, -un/ to turn one’s head to look back, to turn over to the other si de in a","51"
"balút","noun","","","","","52"
"balúskay","verb","","","","","52"
"balúskay","verb","","","","","52"
"bálus","noun","","","","","52"
"bálsa","noun","","","","","52"
"balúta","noun","","","","","52"
"ballot.","verb","","","","","52"
"bálun","noun","","","","","52"
"bálun","adjective","","","","","52"
"balúd","noun","","","","","52"
"balúd","verb","","","","","52"
"balú’","noun","","","","","52"
"bálu","noun","","","","","52"
"bálu","verb","/mag-, -un/; /mag-, -an/","25 unhatched embryo of duck or chicken, boiled and eaten as a delicacy. /mag-, -un/ to rummage, to make a thorough search. Ginbalúskay ku ang mangá báyu sa pagpangíta’ sa ng ákun síngsing. I rummaged through my clothes to look for my ring. /mag-, -an/ to answer, to reply, to strike back, to take revenge on.","Nagbálus akú sa sulát ni nánay.","I answered the letter of my","52"
"bántal","verb","","","","","53"
"bántal","verb","","","","","53"
"bánta’","noun","","","","","53"
"bansúli’","verb","","","","","53"
"baníhut","adjective","","","","","53"
"baníg","noun","","","","","53"
"bánhaw","verb","","","","","53"
"bánhaw","verb","","","","","53"
"bándo","noun","","","","","53"
"bandéra","noun","","","","flag.","53"
"bandehádo","noun","","","","platter.","53"
"bánda","noun","","","","","53"
"banás","noun","","","","","53"
"baná’ag","noun","","","","","53"
"bána","noun","","","","husband.","53"
"balyéna","noun","/mag-, -un/; /-un/","whale. 26 /mag-, -un/ to bundle or wrap to gether with a piece of cloth or clothing. Ginbántal ku ang ákun mangá báyu’. I wrapped my clothes to gether. /-un/ to guess, to opine, to suppose, to estimate. Ginbánta’ ku ang túbig pára sa kán’un. I estimated the water for the rice. guess, opinion, supposition, estimate. /mag-, -un/ to tumble, to be to gether in a confused mass.","Nagbansúli’ akú.","I","53"
"bángko","noun","","","","bank.","54"
"bangkéte","noun","","","","","54"
"bangkéta","noun","","","","","54"
"bángkay","noun","","","","","54"
"bangá’","noun","","","","","54"
"bányo","noun","","","","bathroom.","54"
"bánwa","noun","","","","","54"
"bánwa","verb","","","","","54"
"bántug","adjective","","","","","54"
"bánting","verb","","","","","54"
"bánting","verb","","","","","54"
"bántay","noun","","","","","54"
"bántay","verb","","","","","54"
"bantála’","noun","/-anun/; /-un/","27 banquet, ceremonious meal. si dewalk, concrete pavement. corpse, dead body. native earthen jar used as water container.","si dewalk, concrete pavement.","/-un/ to be rumored, to be considered a hearsay, to become well-known.","54"
"baráto","adjective","","","","","55"
"baratílyo","noun","","","","","55"
"barandílya","noun","","","","","55"
"baráha","noun","","","","","55"
"bára","noun","","","","","55"
"bará","verb","","","","","55"
"bapór","noun","","","","boat, ship.","55"
"bángun","verb","","","bangúd","","55"
"bangís","adjective","","","","","55"
"bángig","verb","","","","","55"
"bángga’","verb","","","","","55"
"bángday","verb","","","","","55"
"bangdánan","noun","","","","","55"
"bángku’","noun","/mag-, -an/; /mag-/","28 cheap, inexpensive. bargain sa le. railing made of iron serving as a guard or support, iron guard rail. deck of playing cards, card. bar, a long straight piece of wood or metal, crowbar.","bargain sa le.","/mag-/ to arise, to get up from bed, to get","55"
"up from a lying position.","conjunction","/ma-/; /mag-, -un/","regarding, concerning, relating to, because of, therefore. Bangúd sa ng aksidénte, nabúlag si Córa. Cora became blind because of the accident. /ma-/ brutal, cruel, inhuman, ferocious, fierce. /mag-, -un/ to quarrel, to start a fight. Ginbángig ni Lóla si Lólo. Grandmother quarreled with Grandfather. /mag-, -un/ to collide, to bump against. /mag-, -un/ to lean against as for support.","Nagbángday ang púnu’ sa ng ságing sa padér.","The banana tree leaned against the","55"
"báskug","adjective","","","","","56"
"báskit","noun","","","","basket.","56"
"básbas","verb","","","","","56"
"baság","adjective","","","","","56"
"baság","verb","","","","","56"
"basá’","adjective","","","","wet, soaked.","56"
"bása","verb","","","","","56"
"báryu","noun","","","","","56"
"barútu","noun","","","","","56"
"barukán","noun","","","","","56"
"barukán","verb","","","","","56"
"barína","noun","","","","awl.","56"
"barílis","noun","","","","barrel.","56"
"barbéro","noun","","","","","56"
"barber.","verb","","","","","56"
"bárbas","noun","","","","","56"
"beard.","verb","/ma-/; /mag-, -an/; /mag-, -un/","29 /ma-/ of sound, loud; of force, strong. /mag-, -an/ of plants and trees, to cut, to trim. of sound, hoarse, dull, broken. /mag-, -un/ to wet, to soak with liquid. Ginbasá’ ku ang tu’álya. I wet the to wel. /mag-, -un/ to read.","Ginbasá’ ku ang tu’álya.","canoe, a native canoe made from carved trunks of trees.","56"
"bátak","verb","","","","","57"
"batá’batá’","adjective","","","","","57"
"batá’batá’","verb","","","","","57"
"batá’batá’","adjective","","","","","57"
"báta’","noun","","","","","57"
"báta","noun","","","","","57"
"básya","verb","","","","","57"
"basúra","noun","","","","","57"
"básul","verb","","","","","57"
"bástus","adjective","","","","","57"
"bástun","noun","","","","","57"
"bástun","particle","","","básta","","57"
"báso","noun","","","","","57"
"bási’","verb","/mag-, -un/; /mag-/; /mag-, -an/","30 /mag-, -un/ to pull upward, to raise. Ginbátak ku ang tímba’ sa bubún. I raised the bucket up the well. younger, childish. /mag-/ to deliver a child, to bear a child. young, immature. child, baby, young girl or boy usually below the age of ten years old.","Ginbátak ku ang tímba’ sa bubún.","/mag-, -an/ of water, to pour out with","57"
"sa","idiom","","so.","Makádtu akú sa Lunéta básta hapítun nínyu akú.","I will go to Luneta if","57"
"you pass by for me.","conjunction","","because, provided, as long as, if, just, I drinking glass. may, may be, might. Bási’ índi akú maka’abút sa alás tres.","I may not arrive at three o’clock.","B","57"
"batúbatú","verb","","","","","58"
"batúbaláni’","noun","","","","magnet.","58"
"bátu’","verb","","","","","58"
"batú","noun","","","","","58"
"bátsi","noun","","","batinggílan","","58"
"batí’is","noun","","","","leg, shin.","58"
"batíd","adjective","","","","","58"
"batí’batí’","verb","","","","","58"
"báti’","noun","","","","","58"
"batí’","verb","","","","","58"
"batí","verb","","","","","58"
"batásan","noun","","","","","58"
"batásan","noun","","","","","58"
"batás","verb","/mag-, -un/","31 /mag-, -un/ to spell, to count one by one. Ginbatúbatú ku ang mangá lítra. I spelled the letters.","Ginbatúbatú ku ang mangá lítra.","rock, stone, pebble.","58"
"hole on the road.","adjective","/magpa-/; /pag-/; /maka-, ma-…-an/; /mag-, -un/","flirt, loose in morality. clever, cunning, ingenious. /magpa-/ to eavesdrop. Nagmamati’batí’ si Cora sa balíta’ ni Josefína. Cora eavesdropped on the news of Josefina. /pag-/ feelings. /maka-, ma-…-an/ to hear, to be able to hear. Mabati’án ku ang hámbal sa sunúd nga kwárto. I can hear the talk in the next room. /mag-, -un/ of liquid and powder, to beat to gether, to mix to gether.","Ginbatí ku ang ítlug.","I beat the egg.","58"
"bayáw","noun","","","","","59"
